patient_aggregation,score_mode,class_name,patient_count,image_count,mean_score,std_score,detected_count,detection_rate
top2_mean,mse_ssim_score,DRUSEN+NORMAL,4,15,0.04292484698817134,0.013665062408347316,0,0.0
top2_mean,mse_ssim_score,NORMAL,149,206,0.038642950899799,0.010889925001886704,4,0.026845637583892617
top2_mean,retina_band_mse,CNV,150,200,0.0033671645055680225,0.0011863958225368757,114,0.76
top2_mean,retina_band_mse,CNV+DME,5,31,0.004390612710267305,0.0023311023483439395,3,0.6
top2_mean,retina_band_mse,CNV+DME+DRUSEN,2,9,0.003826791071332991,0.0007159878636889089,2,1.0
top2_mean,retina_band_mse,CNV+DME+NORMAL,1,5,0.0030480087734758854,,1,1.0
top2_mean,retina_band_mse,CNV+DRUSEN,9,35,0.003018802759470418,0.0009842299079669803,4,0.4444444444444444
top2_mean,retina_band_mse,CNV+DRUSEN+NORMAL,1,4,0.0033087992342188954,,1,1.0
top2_mean,retina_band_mse,CNV+NORMAL,10,33,0.0025674153061117978,0.0011993059439777485,5,0.5
top2_mean,retina_band_mse,DME,145,198,0.0030914070365693548,0.0018725449554188118,81,0.5586206896551724
top2_mean,retina_band_mse,DME+DRUSEN,8,27,0.0029955621575936675,0.0020855383017313656,4,0.5
top2_mean,retina_band_mse,DME+NORMAL,6,26,0.0028502971545094624,0.0019318983791526325,3,0.5
top2_mean,retina_band_mse,DRUSEN,145,211,0.0016508748704679953,0.0009574531926615263,15,0.10344827586206896
top2_mean,retina_band_mse,DRUSEN+NORMAL,4,15,0.0011735361476894468,0.0003587714668303119,0,0.0
top2_mean,retina_band_mse,NORMAL,149,206,0.0010428201960362244,0.0003690408307937107,2,0.013422818791946308
top2_mean,retina_weighted_mse,CNV,150,200,0.0032262615366683654,0.0011358119436988916,118,0.7866666666666666
top2_mean,retina_weighted_mse,CNV+DME,5,31,0.004175332945305854,0.0021478456634607002,3,0.6
top2_mean,retina_weighted_mse,CNV+DME+DRUSEN,2,9,0.0036100124707445502,0.0009160796977221243,2,1.0
top2_mean,retina_weighted_mse,CNV+DME+NORMAL,1,5,0.002796224085614085,,1,1.0
top2_mean,retina_weighted_mse,CNV+DRUSEN,9,35,0.0028441230016243127,0.0009676442975840272,5,0.5555555555555556
top2_mean,retina_weighted_mse,CNV+DRUSEN+NORMAL,1,4,0.0030967388302087784,,1,1.0
top2_mean,retina_weighted_mse,CNV+NORMAL,10,33,0.0024216882011387497,0.00113297034506416,5,0.5
top2_mean,retina_weighted_mse,DME,145,198,0.0029344530784171717,0.0017818214811761047,85,0.5862068965517241
